iteration,timestamp_utc,config_hash,config_path,best_model_hash,accepted,global_step,iter_time_s,replay_positions,consecutive_rejections,best_model,eval_vs_best_wr,eval_vs_best_margin,eval_vs_mcts_wr,train_grad_norm,train_kl_divergence,train_ownership_accuracy,train_ownership_loss,train_policy_accuracy,train_policy_entropy,train_policy_loss,train_policy_top5_accuracy,train_score_loss,train_step_skip_rate,train_total_loss,train_value_loss,train_value_mse,selfplay_avg_game_length,selfplay_avg_num_legal,selfplay_avg_policy_entropy,selfplay_avg_redundancy,selfplay_avg_root_q,selfplay_avg_top1_prob,selfplay_games_per_minute,selfplay_generation_time,selfplay_num_games,selfplay_num_positions,selfplay_p0_wins,selfplay_p1_wins,selfplay_unique_positions
25,2026-02-25T21:12:13.231538Z,127d6ed586dc,configs/config_best.yaml,f42b60a61fd00871,True,12170,2284.6,306624,0,runs\patchwork_production\committed\iter_025\iteration_025.pt,0.0,0.0,,0.394334232420833,0.33233788863376335,0.8451280579522804,0.31353607216367013,0.5565542449553808,2.679244520046093,2.678486159554234,0.7919550610913171,0.03974678848904592,0.0,2.9805198629697163,0.2430792616473304,0.2430792616473304,42.52111111111111,121.34141911359194,2.42145808755109,0.13221207560258894,0.023295797728889685,0.39157430463825615,31.092967679328556,1736.7271132469177,900,38269,482,418,33092
26,2026-02-25T21:53:38.078313Z,127d6ed586dc,configs/config_best.yaml,0220e2f020dafcdd,True,12710,2481.5,306851,0,runs\patchwork_production\committed\iter_026\iteration_026.pt,0.0,0.0,,0.40178990391669445,0.3363082373031864,0.8447823014524247,0.31407175891929207,0.5559851154133126,2.684697245668482,2.683811234544825,0.7903288398627881,0.04019950903538201,0.0,2.9827094003006263,0.23972754552960396,0.23972754552960396,42.67111111111111,120.71087817170104,2.3791780068648425,0.1338296907264495,0.021318762378122382,0.4005488688986,24.77738838129262,2179.4064478874207,900,38404,483,417,33154
27,2026-02-25T22:27:14.606544Z,127d6ed586dc,configs/config_best.yaml,8b3c9e9323e03652,True,13250,2013.2,307333,0,runs\patchwork_production\committed\iter_027\iteration_027.pt,0.0,0.0,,0.405775130705701,0.33735810352696316,0.8429127034213808,0.3164657465285725,0.555325350717262,2.7004126018948025,2.6995612643383167,0.7893625961409674,0.04062868175269277,0.0,2.9903584550928186,0.2311387157274617,0.2311387157274617,42.931111111111115,126.6550608617892,2.496559088161441,0.1515941246584246,0.025542833063166088,0.37911323796712326,30.929772333345237,1745.8906395435333,900,38638,467,433,32623
28,2026-02-25T23:00:13.272689Z,127d6ed586dc,configs/config_best.yaml,5d3e0299a1c96370,True,13790,1975.3,307847,0,runs\patchwork_production\committed\iter_028\iteration_028.pt,0.0,0.0,,0.4034344076834343,0.33879283523118053,0.8413867438281024,0.3184803359486439,0.5571758195205971,2.7056536224153307,2.70520616946397,0.7887005974849065,0.041163865711402015,0.0,2.990958394827666,0.2256310094561842,0.2256310094561842,42.93222222222222,123.23069447837075,2.4204074061713583,0.14059136271020675,0.019969057946098153,0.3968449886421096,31.29010485746052,1725.7852041721344,900,38639,438,462,33095
29,2026-02-25T23:33:59.253784Z,127d6ed586dc,configs/config_best.yaml,f1c1f9590c8e9438,True,14330,2022.6,308077,0,runs\patchwork_production\committed\iter_029\iteration_029.pt,0.0,0.0,,0.4000189451155839,0.33903211504220965,0.840068401561843,0.31998127820315186,0.5552583315858135,2.722157116289492,2.7215356795876113,0.7863073810383125,0.041582986960808435,0.0,2.9997588206220556,0.21775104348306304,0.21775104348306304,42.885555555555555,127.17339826010594,2.4957797905723065,0.14878286351696235,0.026579136577320275,0.3817524559413699,30.490978738469515,1771.0156326293945,900,38597,476,424,32717
30,2026-02-26T00:07:02.785418Z,127d6ed586dc,configs/config_best.yaml,5ba4c1b53e638c86,True,14870,1980.2,308134,0,runs\patchwork_production\committed\iter_030\iteration_030.pt,0.0,0.0,,0.4043290102371463,0.33952429438078846,0.8386320491631826,0.32178460585850255,0.557523254553477,2.7419752173953587,2.7413875072090717,0.7871494800956161,0.04264153267636343,0.0,3.016216159749914,0.21376850293190391,0.21376850293190391,42.78,132.84197667868722,2.5240222825410696,0.14817574023624686,0.019843320580999194,0.3804795661427189,31.160216439556567,1732.978976726532,900,38502,458,442,32663
31,2026-02-26T00:40:13.581258Z,127d6ed586dc,configs/config_best.yaml,03da78bef03d28fd,True,15410,1987.5,308208,0,runs\patchwork_production\committed\iter_031\iteration_031.pt,0.0,0.0,,0.3865447187865222,0.3403798241858129,0.8376347085943928,0.3231204237099047,0.5576488885614607,2.7601226515240143,2.759328337068911,0.7859297343978175,0.04260445625555736,0.0,3.0296223909766584,0.2090446551916776,0.2090446551916776,42.88444444444445,134.01957560883915,2.5519906466156295,0.15415507828002295,0.025019542658972778,0.3787185380275726,31.107164790429653,1735.9344820976257,900,38596,460,440,32497
32,2026-02-26T01:13:52.646534Z,127d6ed586dc,configs/config_best.yaml,fde5a5ed0ec5886e,True,15950,2015.7,308437,0,runs\patchwork_production\committed\iter_032\iteration_032.pt,0.0,0.0,,0.3804404397253637,0.3413978272014194,0.8358636377034364,0.3253924055231942,0.5589158666354639,2.7821406249646787,2.7813363839078833,0.7850333818682917,0.043297561934148826,0.0,3.045967326782368,0.20283281609967901,0.20283281609967901,43.102222222222224,137.50229089126324,2.599725599309835,0.16797469966612275,0.028582436443478403,0.3717714958162829,30.42983834997485,1774.5740013122559,900,38792,474,426,32124
33,2026-02-26T01:47:21.274617Z,127d6ed586dc,configs/config_best.yaml,3861b72d8a56be08,True,16490,2005.3,309078,0,runs\patchwork_production\committed\iter_033\iteration_033.pt,0.0,0.0,,0.3886559223687207,0.343305375178655,0.8341384098485665,0.327354032849824,0.5597764756944444,2.8067900626747697,2.8060579918049,0.7845205269477986,0.04406133716994966,0.0,3.0705891207412437,0.2022096228544359,0.2022096228544359,43.233333333333334,139.90283335717749,2.6055948940355553,0.17043105264906577,0.030304697620595747,0.37020925657953246,30.77543346059988,1754.6462852954865,900,38910,477,423,32088
