step_or_iteration,tag,value
19,iter/ownership_accuracy,0.8511676788330078
20,iter/ownership_accuracy,0.8509563207626343
21,iter/ownership_accuracy,0.8499272465705872
22,iter/ownership_accuracy,0.8490550518035889
23,iter/ownership_accuracy,0.8477175235748291
24,iter/ownership_accuracy,0.846228837966919
0,iter/ownership_loss,0.49689382314682007
1,iter/ownership_loss,0.33863916993141174
2,iter/ownership_loss,0.33124682307243347
3,iter/ownership_loss,0.32516852021217346
4,iter/ownership_loss,0.3235374391078949
5,iter/ownership_loss,0.3212791979312897
6,iter/ownership_loss,0.31883296370506287
7,iter/ownership_loss,0.31687813997268677
8,iter/ownership_loss,0.3138595223426819
9,iter/ownership_loss,0.3112121522426605
10,iter/ownership_loss,0.3073346018791199
11,iter/ownership_loss,0.30640339851379395
12,iter/ownership_loss,0.3045191168785095
13,iter/ownership_loss,0.3040241301059723
14,iter/ownership_loss,0.30336183309555054
15,iter/ownership_loss,0.30387407541275024
16,iter/ownership_loss,0.3033277690410614
17,iter/ownership_loss,0.30407920479774475
18,iter/ownership_loss,0.3049362003803253
19,iter/ownership_loss,0.30605342984199524
20,iter/ownership_loss,0.3064158260822296
21,iter/ownership_loss,0.307598352432251
22,iter/ownership_loss,0.3088289797306061
23,iter/ownership_loss,0.31044304370880127
24,iter/ownership_loss,0.31212177872657776
0,iter/policy_accuracy,0.34629184007644653
1,iter/policy_accuracy,0.3960055410861969
2,iter/policy_accuracy,0.3722422420978546
3,iter/policy_accuracy,0.39332953095436096
4,iter/policy_accuracy,0.4080861508846283
5,iter/policy_accuracy,0.42557358741760254
6,iter/policy_accuracy,0.44038012623786926
7,iter/policy_accuracy,0.45280012488365173
8,iter/policy_accuracy,0.47601327300071716
9,iter/policy_accuracy,0.49152976274490356
10,iter/policy_accuracy,0.5159341096878052
11,iter/policy_accuracy,0.5273300409317017
12,iter/policy_accuracy,0.5375570058822632
13,iter/policy_accuracy,0.5407909750938416
14,iter/policy_accuracy,0.5457587838172913
15,iter/policy_accuracy,0.5470941662788391
16,iter/policy_accuracy,0.5502750873565674
17,iter/policy_accuracy,0.5495681166648865
18,iter/policy_accuracy,0.5491375923156738
19,iter/policy_accuracy,0.5504346489906311
20,iter/policy_accuracy,0.5503693222999573
21,iter/policy_accuracy,0.551847517490387
22,iter/policy_accuracy,0.5534467101097107
23,iter/policy_accuracy,0.5547161102294922
24,iter/policy_accuracy,0.5548011064529419
0,iter/policy_entropy,2.674489974975586
1,iter/policy_entropy,2.7108964920043945
2,iter/policy_entropy,2.7780802249908447
3,iter/policy_entropy,2.7817013263702393
4,iter/policy_entropy,2.797522783279419
5,iter/policy_entropy,2.798614025115967
6,iter/policy_entropy,2.7962310314178467
7,iter/policy_entropy,2.7875630855560303
8,iter/policy_entropy,2.7839560508728027
9,iter/policy_entropy,2.7781102657318115
10,iter/policy_entropy,2.7429749965667725
11,iter/policy_entropy,2.7250657081604004
12,iter/policy_entropy,2.7045722007751465
13,iter/policy_entropy,2.6831588745117188
14,iter/policy_entropy,2.665013074874878
15,iter/policy_entropy,2.656136989593506
16,iter/policy_entropy,2.638599157333374
17,iter/policy_entropy,2.6337175369262695
18,iter/policy_entropy,2.6311686038970947
19,iter/policy_entropy,2.6365561485290527
20,iter/policy_entropy,2.637493371963501
21,iter/policy_entropy,2.64109468460083
22,iter/policy_entropy,2.6458699703216553
23,iter/policy_entropy,2.6583518981933594
24,iter/policy_entropy,2.671161651611328
0,iter/policy_loss,2.676069736480713
1,iter/policy_loss,2.7124381065368652
2,iter/policy_loss,2.7780392169952393
3,iter/policy_loss,2.781850814819336
4,iter/policy_loss,2.797213077545166
5,iter/policy_loss,2.798370122909546
6,iter/policy_loss,2.7962448596954346
7,iter/policy_loss,2.787583351135254
8,iter/policy_loss,2.7835958003997803
9,iter/policy_loss,2.777412176132202
10,iter/policy_loss,2.7423605918884277
11,iter/policy_loss,2.7245326042175293
12,iter/policy_loss,2.7039146423339844
13,iter/policy_loss,2.682537317276001
14,iter/policy_loss,2.664707660675049
15,iter/policy_loss,2.655677080154419
16,iter/policy_loss,2.6384470462799072
17,iter/policy_loss,2.6335694789886475
18,iter/policy_loss,2.6307129859924316
19,iter/policy_loss,2.636361598968506
20,iter/policy_loss,2.6368086338043213
21,iter/policy_loss,2.641000509262085
22,iter/policy_loss,2.6451973915100098
23,iter/policy_loss,2.6576879024505615
24,iter/policy_loss,2.6704113483428955
0,iter/policy_top5_accuracy,0.4652148485183716
1,iter/policy_top5_accuracy,0.5508507490158081
2,iter/policy_top5_accuracy,0.5391921997070312
3,iter/policy_top5_accuracy,0.5740036368370056
4,iter/policy_top5_accuracy,0.5983984470367432
5,iter/policy_top5_accuracy,0.6231635808944702
6,iter/policy_top5_accuracy,0.6428200006484985
7,iter/policy_top5_accuracy,0.6591993570327759
8,iter/policy_top5_accuracy,0.6950891017913818
9,iter/policy_top5_accuracy,0.7132447361946106
10,iter/policy_top5_accuracy,0.7422288656234741
11,iter/policy_top5_accuracy,0.7571204900741577
12,iter/policy_top5_accuracy,0.7676078081130981
13,iter/policy_top5_accuracy,0.7728704810142517
14,iter/policy_top5_accuracy,0.7778143882751465
15,iter/policy_top5_accuracy,0.7813408374786377
16,iter/policy_top5_accuracy,0.7835638523101807
17,iter/policy_top5_accuracy,0.7824741005897522
18,iter/policy_top5_accuracy,0.7827410101890564
19,iter/policy_top5_accuracy,0.7840065956115723
20,iter/policy_top5_accuracy,0.7852541208267212
21,iter/policy_top5_accuracy,0.786596417427063
22,iter/policy_top5_accuracy,0.7876365780830383
23,iter/policy_top5_accuracy,0.7886952757835388
24,iter/policy_top5_accuracy,0.7901272773742676
0,iter/score_loss,0.06945274025201797
1,iter/score_loss,0.041276395320892334
2,iter/score_loss,0.039132241159677505
3,iter/score_loss,0.036691635847091675
4,iter/score_loss,0.0358993299305439
5,iter/score_loss,0.035216037184000015
6,iter/score_loss,0.03488219156861305
7,iter/score_loss,0.03453889489173889
8,iter/score_loss,0.03433090075850487
9,iter/score_loss,0.03387119248509407
10,iter/score_loss,0.03303558751940727
11,iter/score_loss,0.03324717655777931
12,iter/score_loss,0.03329978883266449
13,iter/score_loss,0.03339231014251709
14,iter/score_loss,0.033436670899391174
15,iter/score_loss,0.03373606130480766
16,iter/score_loss,0.03380897268652916
17,iter/score_loss,0.03397497534751892
18,iter/score_loss,0.03464050590991974
19,iter/score_loss,0.035721346735954285
20,iter/score_loss,0.03624749183654785
21,iter/score_loss,0.03674346208572388
22,iter/score_loss,0.037509601563215256
23,iter/score_loss,0.038376323878765106
24,iter/score_loss,0.03927212953567505
0,iter/step_skip_rate,0.0
1,iter/step_skip_rate,0.0
2,iter/step_skip_rate,0.0
3,iter/step_skip_rate,0.0
4,iter/step_skip_rate,0.0
5,iter/step_skip_rate,0.0
6,iter/step_skip_rate,0.0
7,iter/step_skip_rate,0.0
8,iter/step_skip_rate,0.0
9,iter/step_skip_rate,0.0
