iteration,accepted,iteration_time_s,replay_buffer_positions,replay_buffer_iterations,train_approx_identity_check,train_ce_minus_policy_entropy,train_grad_norm,train_kl_divergence,train_ownership_accuracy,train_ownership_loss,train_policy_accuracy,train_policy_cross_entropy,train_policy_entropy,train_policy_loss,train_policy_top5_accuracy,train_score_loss,train_step_skip_rate,train_target_entropy,train_total_loss,train_value_loss,train_value_mse,selfplay_avg_game_length,selfplay_avg_num_legal,selfplay_avg_policy_entropy,selfplay_avg_redundancy,selfplay_avg_root_q,selfplay_avg_top1_prob,selfplay_games_per_minute,selfplay_generation_time,selfplay_num_games,selfplay_num_positions,selfplay_p0_wins,selfplay_p1_wins,selfplay_unique_positions,eval_vs_previous_best_avg_game_length,eval_vs_previous_best_avg_loss_margin,eval_vs_previous_best_avg_model_score_margin,eval_vs_previous_best_avg_score_diff,eval_vs_previous_best_avg_win_margin,eval_vs_previous_best_baseline_wins,eval_vs_previous_best_model_wins,eval_vs_previous_best_ties,eval_vs_previous_best_total_games,eval_vs_previous_best_win_rate,applied_adaptive_games_anti_thrash_bounds,applied_adaptive_games_anti_thrash_prev,applied_adaptive_games_avg_len_est,applied_adaptive_games_clamp_high,applied_adaptive_games_clamp_low,applied_adaptive_games_fill_mode,applied_adaptive_games_games_needed,applied_adaptive_games_games_this_iter,applied_adaptive_games_max_size,applied_adaptive_games_scheduled_games,applied_adaptive_games_scheduled_window_iters,applied_adaptive_games_target_pos_iter,applied_adaptive_games_warnings,applied_replay_max_size,applied_replay_newest_fraction,applied_replay_recency_window,applied_replay_window_iterations,applied_selfplay_cpuct,applied_selfplay_dirichlet_alpha,applied_selfplay_dynamic_score_utility_weight,applied_selfplay_games,applied_selfplay_noise_weight,applied_selfplay_parallel_leaves,applied_selfplay_policy_target_mode,applied_selfplay_q_value_weight,applied_selfplay_simulations,applied_selfplay_static_score_utility_weight,applied_selfplay_temperature,applied_training_amp_dtype,applied_training_batch_size,applied_training_lr,applied_training_q_value_weight
0,True,822.5220293998718,38191,1,,,4.363618692329951,0.10149918060217585,0.7549724825790951,0.5577385451112475,0.35100167436259133,,2.6768080609185354,2.678128552436829,0.4765262280191694,4.2573615176337105,0.0,,3.6510864325932095,0.4635609520333154,0.4635609520333154,42.434444444444445,97.92707364124851,2.6500817993405277,0.1494353062999836,0.0,0.3547119407771945,75.10527856919019,718.9907424449921,900,38191,433,467,32377,,,,,,,,,,,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
1,True,1819.8205337524414,76735,2,,,2.1493276541215787,0.23825036885513776,0.8238189833751624,0.3468818489624106,0.38179779786994494,,2.7480735398721006,2.7514242383017056,0.5383328467175581,3.7348789909611577,0.0,,3.4967743676641714,0.3198299796684928,0.3198299796684928,42.82666666666667,99.92867132798213,2.500019824292984,0.14842101659285473,0.000405975873882543,0.3578606739114827,32.151892248777756,1679.5278978347778,900,38544,455,445,32705,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
2,True,1771.3151733875275,114057,3,,,1.5913957791421018,0.26599254263836203,0.8289090137458541,0.33447749160447166,0.41270975927704745,,2.753102954151561,2.753728692971387,0.5896631971146297,3.6485911584594874,0.0,,3.4693568701882964,0.3005974412832445,0.3005974412832445,41.46888888888889,104.37514940440357,2.5218286013917797,0.14517951205897703,0.0012402215868770182,0.35590319308273266,33.39971918646187,1616.7800602912903,900,37322,492,408,31802,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
3,True,1745.8204021453857,150984,4,,,1.0529295481084024,0.280806578367072,0.8303931031156988,0.33131651963819475,0.42837196128333316,,2.783063578255036,2.7838646892239067,0.6188785113832529,3.599545477067723,0.0,,3.4892106082509544,0.29569387441391454,0.29569387441391454,41.03,109.13045482817436,2.5989092091687644,0.13796035818796168,0.0040642364907560865,0.33720463358067443,34.13862815660595,1581.7858805656433,900,36927,482,418,31736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
4,True,1800.9058191776276,187284,5,,,0.7719775361157734,0.281486617919256,0.829462644969218,0.3320557533283911,0.4341069856691643,,2.8384494788547947,2.838468511429059,0.6350685881792442,3.6022854944657996,0.0,,3.537568863326981,0.2890634314989197,0.2890634314989197,40.333333333333336,120.04105582913259,2.8680871328025224,0.1254406516616406,0.009488596388079142,0.2856139865207223,33.3594484258313,1618.7318000793457,900,36300,506,394,31652,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
5,True,1794.0180864334106,222639,6,,,0.6859405565617689,0.2795736449052445,0.8281531064071466,0.33386530048811613,0.4340306698386349,,2.933591419784584,2.933273613156371,0.6371424823851135,3.6205376202787334,0.0,,3.633010311506281,0.2876031472166972,0.2876031472166972,39.28333333333333,140.4798943687544,3.221818459058982,0.10193671586878313,0.010691615169053915,0.23124887444325895,33.65535859180732,1604.4993207454681,900,35355,477,423,31684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
6,True,2103.984797000885,258026,7,,,0.60343657520696,0.27593214527286336,0.828213361830547,0.33433634896987474,0.43312146424733355,,3.0065674262827837,3.0063349964289827,0.6334467245073154,3.6261409377229628,0.0,,3.7075224266997697,0.2884228965267539,0.2884228965267539,39.318888888888885,151.84106301680308,3.2965124324664212,0.09366027124143728,0.006969753366042136,0.2284467486874553,33.07628901125898,1632.589435338974,900,35387,511,389,32022,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
7,True,1938.0648386478424,293950,8,,,0.5770181434615603,0.26880972719979734,0.829967543876396,0.3329330404412072,0.4347635192128847,,3.0498496433473985,3.049799794970818,0.6333078130236212,3.622525250236943,0.0,,3.754002717306029,0.2920104366428447,0.2920104366428447,39.91555555555556,147.49120286166908,3.220979515543203,0.09141654158669767,0.004644607414729504,0.24596810074035938,32.95674435728093,1638.5113594532013,900,35924,513,387,32584,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,,,,,,,,300000,0.25,0.0,8,1.45,0.1,0.0,900,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
8,True,2244.610910177231,294099,8,,,0.5447530912059658,0.26350171380447895,0.8328349716258499,0.3311343192491891,0.4517698984663442,,3.1069366783465977,3.106299372888961,0.6587954021849722,3.6221759440763943,0.0,,3.821387648132612,0.30320053499824595,0.30320053499824595,40.357894736842105,142.09467861196975,3.134502642912909,0.09020882185064154,-0.0009617094201839159,0.26216190527385247,32.66530982909658,1744.97043800354,950,38340,527,423,34818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,39.5059,1080,810,False,950,950,300000,900,8,37500,[],300000,0.25,0.0,8,1.45,0.1,0.0,950,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
9,True,2015.888430595398,294153,8,,,0.5626808379899781,0.2476177619313294,0.8370704441700341,0.32713273600587306,0.45648529310271424,,3.166800103097592,3.1664219150003396,0.661934195037158,3.6175484895706176,0.0,,3.895294074292453,0.3180473947862409,0.3180473947862409,41.01806588735388,136.91295967657607,3.059982305656247,0.09524846203458334,-0.0104044581966181,0.27441774349171677,32.443705031855295,1740.245139837265,941,38598,512,429,34858,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"[855, 1045]",950,39.8641,1080,810,False,941,941,300000,900,8,37500,[],300000,0.25,0.0,8,1.45,0.1,0.0,941,0.25,64,visits,0.2,192,0.0,1.0,bfloat16,1024,0.0016,0.2
